City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,payyannur,12.1,75.2,305.39,60,100,3.14,IN,1683873983
254,saint-philippe,-21.3585,55.7679,300.92,77,100,5.08,RE,1683873683
255,naze,28.3667,129.4833,295.66,63,44,3.43,JP,1683873696
256,mar del plata,-38.0023,-57.5575,283.76,87,0,2.06,AR,1683873479
257,harstad,68.799,16.5293,280.46,100,100,5.36,NO,1683873983
258,pacific grove,36.6177,-121.9166,285.2,87,0,2.06,US,1683873710
259,nadym,65.5333,72.5167,267.24,73,95,2.13,RU,1683873854
260,bodden town,19.2833,-81.25,300.89,85,6,7.52,KY,1683873983
261,kone,-21.0595,164.8658,296.3,72,99,2.14,NC,1683873701
262,port saint john's,-31.6229,29.5448,294.03,71,99,5.13,ZA,1683873723
263,xi'an,34.2583,108.9286,302.6,21,9,4.01,CN,1683873984
264,daru,-9.0763,143.2092,299.58,90,100,5.66,PG,1683873694
265,aleg,17.0481,-13.9209,302.04,29,0,5.44,MR,1683873850
266,nova vicosa,-17.8919,-39.3719,297.05,84,90,1.62,BR,1683873705
267,sona,45.4388,10.8255,286.92,95,75,1.54,IT,1683873801
268,wiehl,50.95,7.5333,285.53,91,100,4.47,DE,1683873984
269,morehead city,34.7229,-76.726,293.72,77,0,4.12,US,1683873729
270,chui,-33.6971,-53.4616,285.31,72,29,1.65,UY,1683873984
271,haiku-pauwela,20.9219,-156.3051,296.51,65,40,5.14,US,1683873687
272,culpeper,38.5004,-77.9664,289.8,94,0,0.0,US,1683873962
273,tuyen quang,21.8233,105.2181,303.35,53,97,1.05,VN,1683873984
274,fortaleza,-3.7227,-38.5247,300.22,83,40,2.06,BR,1683873600
275,aasiaat,68.7098,-52.8699,267.64,96,100,3.32,GL,1683873703
276,constantia,44.1833,28.65,286.53,59,100,6.51,RO,1683873687
277,saint-pierre,-21.3393,55.4781,301.24,57,0,2.57,RE,1683873783
278,mejit,10.2753,170.8646,300.3,83,71,7.72,MH,1683873874
279,puerto ayora,-0.7393,-90.3518,298.46,100,24,2.9,EC,1683873674
280,acarau,-2.8856,-40.12,297.69,88,40,2.79,BR,1683873598
281,tidjikja,18.5564,-11.4271,302.85,14,94,5.15,MR,1683873696
282,christchurch,-43.5333,172.6333,283.26,80,96,2.06,NZ,1683873720
